Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,School,School_reference,School_sort,School_hierarchy,Category,Category_reference,Category_sort,Category_hierarchy,Notes
35,35,Number of pupils,NUM,1,,6602130 - Ysgol Gynradd Amlwch,6602130,1,,Eligible for free school meals,fsm,1,,
60,60,Number of pupils,NUM,1,,6602130 - Ysgol Gynradd Amlwch,6602130,1,,Eligible for free school meals or transitionally protected,fsmtp,2,,
260,260,Number of pupils,NUM,1,,6602130 - Ysgol Gynradd Amlwch,6602130,1,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6602131 - Ysgol Gynradd Beaumaris,6602131,2,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6602131 - Ysgol Gynradd Beaumaris,6602131,2,,Eligible for free school meals or transitionally protected,fsmtp,2,,
30,30,Number of pupils,NUM,1,,6602131 - Ysgol Gynradd Beaumaris,6602131,2,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6602132 - Ysgol Gynradd Bodedern,6602132,3,,Eligible for free school meals,fsm,1,,
15,15,Number of pupils,NUM,1,,6602132 - Ysgol Gynradd Bodedern,6602132,3,,Eligible for free school meals or transitionally protected,fsmtp,2,,
85,85,Number of pupils,NUM,1,,6602132 - Ysgol Gynradd Bodedern,6602132,3,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6602133 - Ysgol Gymuned Bodffordd,6602133,4,,Eligible for free school meals,fsm,1,,
5,5,Number of pupils,NUM,1,,6602133 - Ysgol Gymuned Bodffordd,6602133,4,,Eligible for free school meals or transitionally protected,fsmtp,2,,
75,75,Number of pupils,NUM,1,,6602133 - Ysgol Gymuned Bodffordd,6602133,4,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6602135 - Ysgol Gymuned Bryngwran,6602135,5,,Eligible for free school meals,fsm,1,,
5,5,Number of pupils,NUM,1,,6602135 - Ysgol Gymuned Bryngwran,6602135,5,,Eligible for free school meals or transitionally protected,fsmtp,2,,
