school_name,school_type,local_authority,sector,pupils,postcode,latitude,longitude,near_transport
YSGOL GOLWG PEN Y FAN,Infants & Juniors,Powys,Primary,300.0,LD3 7LU,51.94967941892604,-3.3900193005579826,True
YSGOL DYFFRYN AERON,"Nursery, Infants & Juniors",Ceredigion,Primary,180.0,SA48 8AE,52.17942776042268,-4.1505815959846855,True
Ysgol Bro Penfro,"Nursery, Infants & Juniors",Pembrokeshire,Primary,149.0,SA71 4RJ,51.682969840138064,-4.926974126027117,True
YGG Tregeles,"Nursery, Infants & Juniors",Neath Port Talbot,Primary,43.0,SA10 7ND,51.66150729369913,-3.8343244798607596,True
COWBRIDGE SCHOOL,Middle (ages 3-19),The Vale of Glamorgan,Middle,1559.0,CF71 7EN,51.463357654385334,-3.437574982124888,True
Ysgol Gynradd Gymraeg Awel Taf,"Nursery, Infants & Juniors",Rhondda Cynon Taf,Primary,346.0,CF37 5DB,51.586420812409884,-3.310188411054282,True
Ysgol Afon Wen,Middle (ages 3-16),Rhondda Cynon Taf,Middle,1165.0,CF37 5AL,51.578305701517706,-3.306651976063282,True
Ysgol Bro Taf,Middle (ages 3-16),Rhondda Cynon Taf,Middle,902.0,CF37 4SF,51.62453213894413,-3.3219639834433443,True
Ysgol Gymraeg Trefynwy,"Nursery, Infants & Juniors",Monmouthshire,Primary,21.0,NP25 5BA,51.81033429535239,-2.726796931616041,True
Ysgol Gynradd Groes Wen,"Nursery, Infants & Juniors",Cardiff,Primary,124.0,CF5 2FG,51.50362823824956,-3.2536034518063452,True
Canolfan Addysg y Bont,Special (with post-16 provision),Isle of Anglesey,Special,123.0,LL77 7PG,53.25722538176075,-4.321524632471142,True
Ysgol Pendalar,Special (with post-16 provision),Gwynedd,Special,115.0,LL55 1DU,53.14912555274232,-4.258541331752011,True
Ysgol Hafod Lon,Special (with post-16 provision),Gwynedd,Special,116.0,LL48 6LD,52.92419638633302,-4.0799407920244715,True
Ysgol Y Gogarth,Special (with post-16 provision),Conwy,Special,272.0,LL30 1YE,53.32064729025752,-3.8032663224737115,True
YSGOL TIR MORFA,Special (with post-16 provision),Denbighshire,Special,114.0,LL18 2RN,53.31009281575085,-3.4792841726925166,True
Ysgol Plas Brondyffryn,Special (with post-16 provision),Denbighshire,Special,119.0,LL16 3DR,53.18511239004361,-3.409398179016274,True
Pen Coch,Special (without post-16 provision),Flintshire,Special,100.0,CH6 5DL,53.244535712107414,-3.132917770787216,True
Ysgol Maes Hyfryd,Special (with post-16 provision),Flintshire,Special,131.0,CH6 5QL,53.23918461397852,-3.1351702857564288,True
St Christophers School,Special (with post-16 provision),Wrexham,Special,304.0,LL13 7BW,53.036613337807644,-2.9893012974464637,True
BRYNLLYWARCH HALL SCHOOL,Special (with post-16 provision),Powys,Special,87.0,SY16 4PB,52.49515531086347,-3.2519163708696914,False
YSGOL ROBERT OWEN,Special (with post-16 provision),Powys,Special,112.0,SY16 1LH,52.503871789996374,-3.3289674009807,True
YSGOL PENMAES,Special (with post-16 provision),Powys,Special,115.0,LD3 7HL,51.943366267749404,-3.3889846169530355,True
Portfield Special School,Special (with post-16 provision),Pembrokeshire,Special,187.0,SA61 1BS,51.796692212625025,-4.984109857013898,True
AMMANFORD NURSERY,Nursery,Carmarthenshire,Nursery,81.0,SA18 2NS,51.79399629188132,-3.9857919040259837,True
Ysgol Maes y Coed,Special (with post-16 provision),Neath Port Talbot,Special,125.0,SA10 7TY,51.68868992557795,-3.819705763375519,True
Ysgol Hendrefelin,Special (without post-16 provision),Neath Port Talbot,Special,175.0,SA10 7TY,51.6877979038128,-3.8194732256670796,True
Heronsbridge Special School,Special (with post-16 provision),Bridgend,Special,269.0,CF31 3HT,51.49877874837693,-3.57453415760825,True
Ysgol Bryn Castell,Special (with post-16 provision),Bridgend,Special,181.0,CF32 9NZ,51.552037512883516,-3.5674567845974483,True
Ysgol Y Deri,Special (with post-16 provision),The Vale of Glamorgan,Special,523.0,CF64 2TP,51.438653746163276,-3.195997981835996,True
MAESGWYN,Special (with post-16 provision),Rhondda Cynon Taf,Special,134.0,CF44 8RE,51.72275577441742,-3.470431230339976,True
Park Lane Special School,Special (with post-16 provision),Rhondda Cynon Taf,Special,146.0,CF44 8HN,51.72000815789275,-3.4630129172081476,True
Ysgol Hen Felin,Special (with post-16 provision),Rhondda Cynon Taf,Special,244.0,CF41 7SZ,51.642895986136814,-3.462035763557477,True
Ysgol Ty Coch,Special (with post-16 provision),Rhondda Cynon Taf,Special,241.0,CF38 1PG,51.56831265265312,-3.306120104375455,True
Greenfield School,Special (with post-16 provision),Merthyr Tydfil,Special,204.0,CF48 4BJ,51.72619501529096,-3.358808715100796,True
Trinity Fields School,Special (with post-16 provision),Caerphilly,Special,306.0,CF82 7XW,51.63825244856617,-3.2371036351614855,True
Pen-y-Cwm Special School,Special (with post-16 provision),Blaenau Gwent,Special,174.0,NP23 6AN,51.766680032024205,-3.1990684908528397,True
The River Centre 3-16 Learning Community,Special (without post-16 provision),Blaenau Gwent,Special,61.0,NP23 6EH,51.78268475517607,-3.20521024862488,True
Crownbridge Special School,Special (with post-16 provision),Torfaen,Special,142.0,NP44 2BJ,51.65345255407233,-3.005358975287597,True
Newport Nursery School,Nursery,Newport,Nursery,68.0,NP19 7EJ,51.59297281052022,-2.984077251701153,True
MAES EBBW SCHOOL,Special (with post-16 provision),Newport,Special,157.0,NP20 3DG,51.567576112620976,-3.0131060718480365,True
Ysgol Bryn Derw,Special (with post-16 provision),Newport,Special,111.0,NP20 3FQ,51.577821435952515,-3.0160967916895016,True
GRANGETOWN NURSERY SCHOOL,Nursery,Cardiff,Nursery,114.0,CF11 7DT,51.46338741783851,-3.1800916020986447,True
TREMORFA NURSERY,Nursery,Cardiff,Nursery,41.0,CF24 2YE,51.487617436222415,-3.139892003191421,True
Ely and Caerau Children's Centre,Nursery,Cardiff,Nursery,76.0,CF5 4SX,51.47296346503139,-3.2700793351401645,True
GREENHILL SPECIAL SCHOOL,Special (without post-16 provision),Cardiff,Special,77.0,CF14 6UJ,51.52739774323022,-3.2202859306205616,True
WOODLANDS HIGH SCHOOL,Special (with post-16 provision),Cardiff,Special,182.0,CF5 5AQ,51.47783817256209,-3.2328930029247265,True
RIVERBANK SCHOOL,Special (without post-16 provision),Cardiff,Special,80.0,CF5 5AQ,51.4789374384821,-3.2353276388925045,True
TY-GWYN SPECIAL SCHOOL,Special (with post-16 provision),Cardiff,Special,251.0,CF5 5AQ,51.478099237558496,-3.23426617178979,True
THE HOLLIES SCHOOL,Special (without post-16 provision),Cardiff,Special,135.0,CF23 7XG,51.526068942081615,-3.142423439928552,True
MEADOWBANK SPECIAL SCHOOL,Special (without post-16 provision),Cardiff,Special,98.0,CF14 2QQ,51.499495950810434,-3.21681752594211,True
Ysgol Gynradd Amlwch,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,258.0,LL68 9DU,53.4118816235288,-4.3474269122121765,True
Ysgol Gynradd Beaumaris,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,32.0,LL58 8HL,53.26472586468607,-4.102486860188932,True
Ysgol Gynradd Bodedern,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,85.0,LL65 3TZ,53.293311673938646,-4.499031594048755,True
Ysgol Gymuned Bodffordd,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,76.0,LL77 7LZ,53.264599600311506,-4.361256934467891,True
Ysgol Gymuned Bryngwran,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,49.0,LL65 3PP,53.26880775252295,-4.477269444126652,True
Ysgol Gynradd Brynsiencyn,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,35.0,LL61 6HZ,53.17703670783465,-4.272533579147194,True
Ysgol Cemaes,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,63.0,LL67 0LB,53.40802841168306,-4.456240878784054,True
Ysgol Esceifiog,Infants & Juniors,Isle of Anglesey,Primary,129.0,LL60 6DD,53.22132132405932,-4.278878243553984,True
Ysgol Gymuned y Ffridd,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,82.0,LL65 4SG,53.25374042418781,-4.414105371964091,True
Ysgol Gymuned Moelfre,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,51.0,LL72 8NA,53.353545631290956,-4.241059169115791,True
Ysgol Gynradd Llanbedrgoch,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,22.0,LL76 8SX,53.30140791054622,-4.232008501988371,False
Ysgol Gynradd Llanfairpwll,Infants & Juniors,Isle of Anglesey,Primary,330.0,LL61 5TX,53.22137960252854,-4.20411443273086,True
Ysgol Gymuned Llanfechell,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,81.0,LL68 0SA,53.3904147253115,-4.459317068764798,True
Ysgol Y Graig,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,367.0,LL77 7LP,53.26080104845266,-4.297094089150464,False
YSGOL GYNRADD LLANGOED,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,85.0,LL58 8LU,53.291815227567895,-4.090467220292215,True
Ysgol Henblas,Infants & Juniors,Isle of Anglesey,Primary,90.0,LL62 5DR,53.23584406554945,-4.354113499253534,True
Ysgol Gymuned Llannerch-y-medd,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,123.0,LL71 8DP,53.33137489763596,-4.375744021152566,True
Ysgol Pencarnisiog,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,64.0,LL63 5RY,53.23490720277186,-4.469660883441454,True
Ysgol Gymuned Pentraeth,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,77.0,LL75 8UP,53.28139477135768,-4.218848735074131,True
Ysgol Penysarn,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,64.0,LL69 9AZ,53.39044412488108,-4.314213683547529,True
Ysgol Santes Gwenfaen,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,106.0,LL65 2DX,53.26634683435473,-4.598128413213581,True
Ysgol Gynradd Rhosneigr,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,75.0,LL64 5XA,53.23131594443653,-4.517090079023803,True
Ysgol Gynradd Rhosybol,Infants & Juniors,Isle of Anglesey,Primary,75.0,LL68 9PP,53.37353373294612,-4.364845818324719,True
Ysgol Gymuned y Fali,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,118.0,LL65 3EU,53.28119687874881,-4.5686143413093045,True
Ysgol Llanfawr,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,256.0,LL65 2DS,53.30774143505739,-4.623830281709193,True
Ysgol Goronwy Owen,Infants & Juniors,Isle of Anglesey,Primary,138.0,LL74 8SG,53.32175742340089,-4.228446074609745,True
Ysgol Gynradd Y Tywyn,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,100.0,LL65 3LW,53.26312257187157,-4.523271346204689,True
Ysgol Gynradd Llandegfan,Infants & Juniors,Isle of Anglesey,Primary,160.0,LL59 5UW,53.24381874135882,-4.146589878414956,True
Ysgol Gynradd y Borth,Infants & Juniors,Isle of Anglesey,Primary,192.0,LL59 5DS,53.22965531827187,-4.1691046755305115,True
Ysgol Gynradd Kingsland,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,166.0,LL65 2TH,53.300267787494086,-4.625953405877423,True
Ysgol Gymraeg Morswyn,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,178.0,LL65 2PU,53.300947426897956,-4.62326341441751,True
Rhyd y Llan,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,118.0,LL65 4PQ,53.35381272364793,-4.534727699244426,True
Ysgol Parc y Bont,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,113.0,LL60 6ES,53.211860499649625,-4.252540402160438,True
Cybi,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,425.0,LL65 1NS,53.310002167404924,-4.640300942225867,True
