Latitude,Longitude,CommonName,StopType,Status
52.992386305,-3.382612617,Clawdd Poncen,BCT,active
53.303413679,-3.403162176,Trecastell Nurseries,BCT,active
52.972613468,-3.179494915,Park Avenue,BCT,active
52.97490893728778,-3.137259818266472,Wenffrwd,BCT,active
52.98074933986848,-3.3762128857044047,Bridge Street,BCT,active
53.322939671,-3.490178445,Westminster Hotel,BCT,active
53.31699906,-3.488620356,Morrison,BCT,active
52.976628529,-3.266744816,Glyndyfrdwy Llangollen Station,BCT,active
52.981767873,-3.315408721,Carrog Llangollen Railway Station,BCT,active
53.319153108,-3.488530243,Rhyl Bus Station Stand F,BCS,active
53.31868267,-3.488769082,Rhyl Bus Station Stand A,BCS,active
53.318811466,-3.488533364,Rhyl Bus Station Stand B,BCS,active
53.135884742,-3.254055862,Moel Famau Viewpoint,BCT,active
52.922877,-3.439278,Capel Hermon,BCT,active
52.922838231,-3.437679262,Dudley Arms,BCT,active
52.923083292,-3.435619764,Llandrillo War Memorial,BCT,active
52.935621252,-3.425812521,Pont yr Hendwr,BCT,active
52.959441739,-3.405693958,Blue Lion Hotel,BCT,active
52.97696298,-3.387347729,Glandwr,BCT,active
52.981118838,-3.378633221,Station House,BCT,active
52.980665348,-3.37276508,The Square,BCT,active
52.979505917,-3.339245563,Bonwm Cottage,BCT,active
52.979634019,-3.316118371,Parc Terrace,BCT,active
52.98014003,-3.312633516,Tai Teg,BCT,active
52.974442783,-3.26685959,St Thomas` Church,BCT,active
52.974166589,-3.263247527,Sun Inn,BCT,active
52.972963165,-3.25549833,Bryn-hyfryd,BCT,active
52.979959841,-3.194619193,Berwyn Llangollen Railway Station,BCT,active
52.978461564,-3.182632983,Ystrad Hall,BCT,active
52.980627708,-3.19256727,Berwyn Llangollen Railway Station,BCT,active
52.974161767,-3.180192349,Wild Pheasant Hotel,BCT,active
52.970289629,-3.177227758,Bowling Green,BCT,active
52.969956514,-3.176369922,Bowling Green,BCT,active
52.969745188,-3.171837346,Market Street Car Park,BCT,active
52.971241494,-3.169137844,Bridge End Hotel,BCT,active
52.971324482,-3.169839979,Bridge End Hotel,BCT,active
52.970392,-3.161702,Bishop's Walk,BCT,active
52.973599355,-3.132209432,Sun Trevor Inn,BCT,active
