LSOA_Code,LSOA_Name,Local_Authority,WIMD_2019_Rank,WIMD_2019_Decile,Income_Rank,Education_Rank,Health_Rank,Access_Services_Rank
W00000001,Cardiff 001,Cardiff,698,4,450,784,1078,387
W00000002,Cardiff 002,Cardiff,406,3,1068,837,321,760
W00000003,Cardiff 003,Cardiff,314,2,332,606,1,1
W00000004,Cardiff 004,Cardiff,275,2,135,638,154,1
W00000005,Cardiff 005,Cardiff,1086,6,418,529,1,238
W00000006,Cardiff 006,Cardiff,544,3,85,665,271,359
W00000007,Cardiff 007,Cardiff,259,2,1166,494,98,894
W00000008,Cardiff 008,Cardiff,11,1,575,1,1,594
W00000009,Cardiff 009,Cardiff,795,5,561,449,385,1
W00000010,Cardiff 010,Cardiff,212,2,334,965,630,1
W00000011,Cardiff 011,Cardiff,629,4,361,202,732,994
W00000012,Cardiff 012,Cardiff,872,5,197,363,625,968
W00000013,Cardiff 013,Cardiff,308,2,433,13,45,890
W00000014,Cardiff 014,Cardiff,1042,6,474,941,637,190
W00000015,Cardiff 015,Cardiff,644,4,1053,484,1094,1
W00000016,Cardiff 016,Cardiff,828,5,531,368,534,1
W00000017,Cardiff 017,Cardiff,412,3,628,1150,303,111
W00000018,Cardiff 018,Cardiff,299,2,829,644,298,746
W00000019,Cardiff 019,Cardiff,538,3,848,191,375,311
W00000020,Cardiff 020,Cardiff,1,1,606,614,501,387
W00000021,Cardiff 021,Cardiff,1,1,348,349,195,422
W00000022,Cardiff 022,Cardiff,661,4,1179,576,597,464
W00000023,Cardiff 023,Cardiff,1,1,490,526,1436,407
W00000024,Cardiff 024,Cardiff,620,4,487,1,934,860
W00000025,Cardiff 025,Cardiff,816,5,172,1117,1,781
W00000026,Cardiff 026,Cardiff,1376,8,143,250,537,258
W00000027,Cardiff 027,Cardiff,1,1,524,32,679,58
W00000028,Cardiff 028,Cardiff,1119,6,218,358,809,1
W00000029,Cardiff 029,Cardiff,590,4,970,1,570,624
W00000030,Cardiff 030,Cardiff,812,5,54,1,698,642
W00000031,Cardiff 031,Cardiff,600,4,624,200,588,640
W00000032,Cardiff 032,Cardiff,214,2,1171,708,47,815
W00000033,Cardiff 033,Cardiff,110,1,783,1009,188,962
W00000034,Cardiff 034,Cardiff,665,4,795,1334,406,138
W00000035,Cardiff 035,Cardiff,144,1,206,466,629,632
W00000036,Cardiff 036,Cardiff,830,5,504,1139,399,1805
W00000037,Cardiff 037,Cardiff,750,4,191,28,683,392
W00000038,Cardiff 038,Cardiff,785,5,670,467,178,1
W00000039,Cardiff 039,Cardiff,321,2,808,594,26,583
W00000040,Cardiff 040,Cardiff,654,4,181,567,522,1
W00000041,Cardiff 041,Cardiff,643,4,701,976,900,1
W00000042,Cardiff 042,Cardiff,124,1,685,726,695,1909
W00000043,Cardiff 043,Cardiff,728,4,908,919,747,348
W00000044,Cardiff 044,Cardiff,803,5,221,395,315,539
W00000045,Cardiff 045,Cardiff,1425,8,1,801,1,273
W00000046,Cardiff 046,Cardiff,935,5,523,25,228,826
W00000047,Cardiff 047,Cardiff,207,2,577,520,252,1529
W00000048,Cardiff 048,Cardiff,753,4,1,582,248,909
W00000049,Cardiff 049,Cardiff,182,1,458,722,828,1
W00000050,Cardiff 050,Cardiff,366,2,329,212,1170,694
W00000051,Cardiff 051,Cardiff,1,1,830,1433,892,1
W00000052,Cardiff 052,Cardiff,306,2,956,188,668,871
W00000053,Cardiff 053,Cardiff,129,1,478,1,110,378
W00000054,Cardiff 054,Cardiff,1,1,1087,1,332,562
W00000055,Cardiff 055,Cardiff,1076,6,1,1011,503,28
W00000056,Cardiff 056,Cardiff,684,4,571,235,526,315
W00000057,Cardiff 057,Cardiff,545,3,738,1197,29,1523
W00000058,Cardiff 058,Cardiff,1,1,445,758,606,201
W00000059,Cardiff 059,Cardiff,416,3,322,240,822,671
W00000060,Cardiff 060,Cardiff,222,2,823,635,808,802
W00000061,Cardiff 061,Cardiff,168,1,298,828,731,489
W00000062,Cardiff 062,Cardiff,546,3,959,239,707,402
W00000063,Cardiff 063,Cardiff,412,3,895,863,809,1126
W00000064,Cardiff 064,Cardiff,508,3,745,363,623,437
W00000065,Cardiff 065,Cardiff,538,3,714,139,1295,17
W00000066,Cardiff 066,Cardiff,14,1,916,848,737,801
W00000067,Cardiff 067,Cardiff,495,3,176,533,242,968
W00000068,Cardiff 068,Cardiff,441,3,202,358,656,229
W00000069,Cardiff 069,Cardiff,171,1,587,607,307,273
W00000070,Cardiff 070,Cardiff,592,4,1,1,226,397
W00000071,Cardiff 071,Cardiff,624,4,1031,877,439,490
W00000072,Cardiff 072,Cardiff,98,1,493,372,622,102
