code,local_authority,error,wkt_length,wkt_sample
W01000989,Bridgend,ParseException: Expected word but encountered end of stream,32767,"DATA TRUNCATED MULTIPOLYGON (((287365.175 181421.72, 287365.186 181421.756, 287367.5 181429.597, 287367.65 181430.543, 287368.594 181436.5, 287369.094 181443.5, 287369.061 181444.169, 287368.5 181455.5, 287368.585 181506.31, 287368.588 181508.04, 287368.588 181508.194, 287368.594 181511.499, 287369 "
W01001649,Newport,ParseException: Expected word but encountered end of stream,32767,"DATA TRUNCATED MULTIPOLYGON (((337905.446 188691.719, 337905.406 188695.891, 337907.312 188716.203, 337899.812 188748.595, 337899.326 188749.105, 337898.187 188750.297, 337862.687 188766.703, 337852 188770.297, 337850.688 188771.506, 337850.643 188771.828, 337850.453 188771.747, 337829.995 188763.06"
W01000159,Conwy,ParseException: Expected word but encountered end of stream,32767,"DATA TRUNCATED MULTIPOLYGON (((290679.425 364713.328, 290681.406 364715.187, 290681.788 364715.447, 290682.783 364716.125, 290685.84 364718.208, 290686.406 364718.594, 290687.261 364718.969, 290692.812 364721.406, 290698.012 364722.59, 290699.811 364723, 290701.325 364723.125, 290703.594 364723.312,"
W01000006,Isle of Anglesey,ParseException: Expected number but encountered end of stream,32767,"DATA TRUNCATED MULTIPOLYGON (((240218.821 376899.873, 240221.5 376897.906, 240238.406 376881.812, 240246 376876.5, 240253.594 376871.187, 240269.391 376862, 240279.5 376852.187, 240294.891 376846.594, 240323 376828.094, 240326.639 376824.612, 240337.406 376814.312, 240357.132 376797.09, 240364 37679"
W01000007,Isle of Anglesey,ParseException: Expected word but encountered end of stream,32767,"DATA TRUNCATED MULTIPOLYGON (((241641.432 373167.409, 241636.302 373160.21, 241632.053 373155.605, 241614.159 373136.2, 241611.297 373133.094, 241607.131 373129.545, 241595.703 373119.812, 241583.44 373110.798, 241575.55 373104.998, 241575 373104.594, 241570.973 373101.3, 241555.594 373088.719, 2415"
W01000086,Gwynedd,ParseException: Expected word but encountered end of stream,32767,"DATA TRUNCATED MULTIPOLYGON (((239939.339 349022.535, 239907.8 349005.9, 239859.5 348974.9, 239836.7 348962.6, 239815.8 348949, 239793.7 348932, 239762.199 348901.8, 239718.6 348857.7, 239700.3 348834, 239662.2 348771.8, 239623.7 348692, 239590 348630.8, 239570.8 348591.6, 239553.3 348565.3, 239536."
W01000004,Isle of Anglesey,ParseException: Expected number but encountered end of stream,32767,"DATA TRUNCATED MULTIPOLYGON (((243343.0639995466 392766.4570004628, 243347.6049992663 392767.09599964955, 243358.9060002169 392768.68700025784, 243362.90599947877 392770.4999987736, 243371.40499900506 392772.5000011582, 243385.5939994778 392773.59399995126, 243390.48199863092 392774.92200003663, 243"
W01000085,Gwynedd,ParseException: Expected number but encountered end of stream,32767,"DATA TRUNCATED MULTIPOLYGON (((258337.674 309618.756, 258333.40000000002 309613, 258328.8 309606.1, 258320.69900000002 309591.7, 258310 309558, 258304.09999999998 309522.9, 258302.962 309517.278, 258295.59999999998 309480.9, 258285.8 309454, 258281.8 309447, 258270.799 309433.101, 258241.59999999998"
W01000084,Gwynedd,ParseException: Expected number but encountered end of stream,32767,"DATA TRUNCATED MULTIPOLYGON (((230618.832 332350.149, 230614.886 332362.812, 230595.906 332423.719, 230597.398 332437.814, 230586.275 332441.237, 230584.406 332441.812, 230586.203 332506.187, 230592.553 332502.891, 230605.405 332496.219, 230616.111 332493.79, 230618.667 332493.21, 230619.594 332493,"
W01000083,Gwynedd,ParseException: Expected word but encountered end of stream,32767,"DATA TRUNCATED MULTIPOLYGON (((292243 335071.281, 292242.941 335071.337, 292178.875 335131.725, 292175.5 335134.906, 292164.528 335145.118, 291989 335308.5, 291939.786 335355.068, 291880.727 335410.951, 291878.273 335413.273, 291871.595 335419.594, 291860.948 335427.132, 291847.719 335436.5, 291836."
