school_name,school_type,local_authority,sector,pupils,postcode,latitude,longitude,near_transport,wimd_decile,deprivation,fsm_pct,attendance_pct,gcse_pass_pct
YSGOL GOLWG PEN Y FAN,Infants & Juniors,Powys,Primary,300.0,LD3 7LU,51.94967941892604,-3.3900193005579826,True,7,medium_deprivation,14.1,92.5,
YSGOL DYFFRYN AERON,"Nursery, Infants & Juniors",Ceredigion,Primary,180.0,SA48 8AE,52.17942776042268,-4.1505815959846855,True,5,medium_deprivation,21.9,91.2,
Ysgol Bro Penfro,"Nursery, Infants & Juniors",Pembrokeshire,Primary,149.0,SA71 4RJ,51.682969840138064,-4.926974126027117,True,5,medium_deprivation,17.6,93.5,
YGG Tregeles,"Nursery, Infants & Juniors",Neath Port Talbot,Primary,43.0,SA10 7ND,51.66150729369913,-3.83432447986076,True,6,medium_deprivation,15.7,91.8,
COWBRIDGE SCHOOL,Middle (ages 3-19),The Vale of Glamorgan,Middle,1559.0,CF71 7EN,51.46335765438533,-3.437574982124888,True,10,low_deprivation,1.5,96.8,
Ysgol Gynradd Gymraeg Awel Taf,"Nursery, Infants & Juniors",Rhondda Cynon Taf,Primary,346.0,CF37 5DB,51.58642081240989,-3.310188411054282,True,8,low_deprivation,9.1,95.2,
Ysgol Afon Wen,Middle (ages 3-16),Rhondda Cynon Taf,Middle,1165.0,CF37 5AL,51.578305701517706,-3.306651976063282,True,7,medium_deprivation,15.7,91.7,
Ysgol Bro Taf,Middle (ages 3-16),Rhondda Cynon Taf,Middle,902.0,CF37 4SF,51.62453213894413,-3.3219639834433443,True,1,high_deprivation,38.3,89.0,
Ysgol Gymraeg Trefynwy,"Nursery, Infants & Juniors",Monmouthshire,Primary,21.0,NP25 5BA,51.81033429535239,-2.726796931616041,True,8,low_deprivation,18.4,96.1,
Ysgol Gynradd Groes Wen,"Nursery, Infants & Juniors",Cardiff,Primary,124.0,CF5 2FG,51.50362823824956,-3.253603451806345,True,9,low_deprivation,4.6,94.0,
Canolfan Addysg y Bont,Special (with post-16 provision),Isle of Anglesey,Special,123.0,LL77 7PG,53.25722538176075,-4.321524632471142,True,8,low_deprivation,18.6,94.0,
Ysgol Pendalar,Special (with post-16 provision),Gwynedd,Special,115.0,LL55 1DU,53.14912555274232,-4.258541331752011,True,8,low_deprivation,13.8,95.2,
Ysgol Hafod Lon,Special (with post-16 provision),Gwynedd,Special,116.0,LL48 6LD,52.92419638633302,-4.079940792024472,True,6,medium_deprivation,23.1,94.3,
Ysgol Y Gogarth,Special (with post-16 provision),Conwy,Special,272.0,LL30 1YE,53.32064729025752,-3.803266322473712,True,10,low_deprivation,8.7,95.6,
YSGOL TIR MORFA,Special (with post-16 provision),Denbighshire,Special,114.0,LL18 2RN,53.31009281575085,-3.479284172692517,True,8,low_deprivation,10.1,93.8,
Ysgol Plas Brondyffryn,Special (with post-16 provision),Denbighshire,Special,119.0,LL16 3DR,53.18511239004361,-3.409398179016274,True,5,medium_deprivation,29.1,94.4,
Pen Coch,Special (without post-16 provision),Flintshire,Special,100.0,CH6 5DL,53.24453571210741,-3.132917770787216,True,1,high_deprivation,45.5,92.2,
Ysgol Maes Hyfryd,Special (with post-16 provision),Flintshire,Special,131.0,CH6 5QL,53.23918461397852,-3.1351702857564288,True,2,high_deprivation,42.5,91.8,
St Christophers School,Special (with post-16 provision),Wrexham,Special,304.0,LL13 7BW,53.03661333780765,-2.989301297446464,True,7,medium_deprivation,20.1,94.0,
BRYNLLYWARCH HALL SCHOOL,Special (with post-16 provision),Powys,Special,87.0,SY16 4PB,52.49515531086347,-3.2519163708696914,False,5,medium_deprivation,37.4,91.1,
YSGOL ROBERT OWEN,Special (with post-16 provision),Powys,Special,112.0,SY16 1LH,52.50387178999637,-3.3289674009807,True,3,high_deprivation,33.7,90.2,
YSGOL PENMAES,Special (with post-16 provision),Powys,Special,115.0,LD3 7HL,51.94336626774941,-3.3889846169530355,True,8,low_deprivation,12.5,95.3,
Portfield Special School,Special (with post-16 provision),Pembrokeshire,Special,187.0,SA61 1BS,51.79669221262503,-4.984109857013898,True,8,low_deprivation,12.1,95.1,
AMMANFORD NURSERY,Nursery,Carmarthenshire,Nursery,81.0,SA18 2NS,51.79399629188132,-3.985791904025984,True,4,medium_deprivation,24.4,93.7,
Ysgol Maes y Coed,Special (with post-16 provision),Neath Port Talbot,Special,125.0,SA10 7TY,51.68868992557795,-3.819705763375519,True,1,high_deprivation,42.3,90.7,
Ysgol Hendrefelin,Special (without post-16 provision),Neath Port Talbot,Special,175.0,SA10 7TY,51.6877979038128,-3.81947322566708,True,2,high_deprivation,45.3,88.6,
Heronsbridge Special School,Special (with post-16 provision),Bridgend,Special,269.0,CF31 3HT,51.49877874837693,-3.57453415760825,True,5,medium_deprivation,33.3,93.9,
Ysgol Bryn Castell,Special (with post-16 provision),Bridgend,Special,181.0,CF32 9NZ,51.55203751288352,-3.5674567845974483,True,2,high_deprivation,38.3,89.3,
Ysgol Y Deri,Special (with post-16 provision),The Vale of Glamorgan,Special,523.0,CF64 2TP,51.43865374616328,-3.195997981835996,True,8,low_deprivation,11.3,94.1,
MAESGWYN,Special (with post-16 provision),Rhondda Cynon Taf,Special,134.0,CF44 8RE,51.72275577441742,-3.470431230339976,True,8,low_deprivation,16.5,94.9,
Park Lane Special School,Special (with post-16 provision),Rhondda Cynon Taf,Special,146.0,CF44 8HN,51.72000815789275,-3.463012917208148,True,1,high_deprivation,42.7,92.5,
Ysgol Hen Felin,Special (with post-16 provision),Rhondda Cynon Taf,Special,244.0,CF41 7SZ,51.642895986136814,-3.462035763557477,True,9,low_deprivation,12.9,99.0,
Ysgol Ty Coch,Special (with post-16 provision),Rhondda Cynon Taf,Special,241.0,CF38 1PG,51.56831265265312,-3.306120104375455,True,2,high_deprivation,41.4,91.4,
Greenfield School,Special (with post-16 provision),Merthyr Tydfil,Special,204.0,CF48 4BJ,51.72619501529096,-3.358808715100796,True,6,medium_deprivation,17.2,93.0,
Trinity Fields School,Special (with post-16 provision),Caerphilly,Special,306.0,CF82 7XW,51.63825244856617,-3.237103635161485,True,8,low_deprivation,20.8,95.3,
Pen-y-Cwm Special School,Special (with post-16 provision),Blaenau Gwent,Special,174.0,NP23 6AN,51.766680032024205,-3.19906849085284,True,2,high_deprivation,47.7,91.7,
The River Centre 3-16 Learning Community,Special (without post-16 provision),Blaenau Gwent,Special,61.0,NP23 6EH,51.78268475517607,-3.20521024862488,True,3,high_deprivation,33.8,90.8,
Crownbridge Special School,Special (with post-16 provision),Torfaen,Special,142.0,NP44 2BJ,51.65345255407233,-3.005358975287597,True,5,medium_deprivation,26.0,94.9,
Newport Nursery School,Nursery,Newport,Nursery,68.0,NP19 7EJ,51.59297281052022,-2.984077251701153,True,10,low_deprivation,6.1,96.2,
MAES EBBW SCHOOL,Special (with post-16 provision),Newport,Special,157.0,NP20 3DG,51.567576112620976,-3.0131060718480365,True,1,high_deprivation,46.2,90.5,
Ysgol Bryn Derw,Special (with post-16 provision),Newport,Special,111.0,NP20 3FQ,51.57782143595252,-3.0160967916895016,True,5,medium_deprivation,30.2,93.4,
GRANGETOWN NURSERY SCHOOL,Nursery,Cardiff,Nursery,114.0,CF11 7DT,51.46338741783851,-3.1800916020986447,True,5,medium_deprivation,31.0,93.1,
TREMORFA NURSERY,Nursery,Cardiff,Nursery,41.0,CF24 2YE,51.487617436222415,-3.139892003191421,True,6,medium_deprivation,18.7,94.3,
Ely and Caerau Children's Centre,Nursery,Cardiff,Nursery,76.0,CF5 4SX,51.47296346503139,-3.2700793351401645,True,5,medium_deprivation,19.8,91.8,
GREENHILL SPECIAL SCHOOL,Special (without post-16 provision),Cardiff,Special,77.0,CF14 6UJ,51.52739774323022,-3.2202859306205616,True,1,high_deprivation,39.4,89.2,
WOODLANDS HIGH SCHOOL,Special (with post-16 provision),Cardiff,Special,182.0,CF5 5AQ,51.47783817256209,-3.2328930029247265,True,3,high_deprivation,33.3,89.8,
RIVERBANK SCHOOL,Special (without post-16 provision),Cardiff,Special,80.0,CF5 5AQ,51.4789374384821,-3.2353276388925045,True,4,medium_deprivation,31.8,92.5,
TY-GWYN SPECIAL SCHOOL,Special (with post-16 provision),Cardiff,Special,251.0,CF5 5AQ,51.478099237558496,-3.23426617178979,True,9,low_deprivation,17.5,96.3,
THE HOLLIES SCHOOL,Special (without post-16 provision),Cardiff,Special,135.0,CF23 7XG,51.526068942081615,-3.142423439928552,True,9,low_deprivation,8.2,95.9,
MEADOWBANK SPECIAL SCHOOL,Special (without post-16 provision),Cardiff,Special,98.0,CF14 2QQ,51.499495950810434,-3.21681752594211,True,8,low_deprivation,15.5,96.8,
Ysgol Gynradd Amlwch,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,258.0,LL68 9DU,53.4118816235288,-4.3474269122121765,True,6,medium_deprivation,19.3,93.2,
Ysgol Gynradd Beaumaris,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,32.0,LL58 8HL,53.26472586468607,-4.102486860188932,True,9,low_deprivation,13.4,96.1,
Ysgol Gynradd Bodedern,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,85.0,LL65 3TZ,53.293311673938646,-4.499031594048755,True,10,low_deprivation,15.1,94.5,
Ysgol Gymuned Bodffordd,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,76.0,LL77 7LZ,53.26459960031151,-4.361256934467891,True,6,medium_deprivation,17.3,92.7,
Ysgol Gymuned Bryngwran,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,49.0,LL65 3PP,53.26880775252295,-4.477269444126652,True,7,medium_deprivation,13.8,94.8,
Ysgol Gynradd Brynsiencyn,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,35.0,LL61 6HZ,53.17703670783465,-4.272533579147194,True,3,high_deprivation,34.4,92.3,
Ysgol Cemaes,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,63.0,LL67 0LB,53.40802841168306,-4.456240878784054,True,2,high_deprivation,36.5,90.2,
Ysgol Esceifiog,Infants & Juniors,Isle of Anglesey,Primary,129.0,LL60 6DD,53.22132132405932,-4.278878243553984,True,7,medium_deprivation,23.2,93.8,
Ysgol Gymuned y Ffridd,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,82.0,LL65 4SG,53.25374042418781,-4.414105371964091,True,6,medium_deprivation,21.7,91.3,
Ysgol Gymuned Moelfre,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,51.0,LL72 8NA,53.35354563129096,-4.241059169115791,True,7,medium_deprivation,14.4,93.5,
Ysgol Gynradd Llanbedrgoch,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,22.0,LL76 8SX,53.30140791054622,-4.232008501988371,False,6,medium_deprivation,21.8,94.0,
Ysgol Gynradd Llanfairpwll,Infants & Juniors,Isle of Anglesey,Primary,330.0,LL61 5TX,53.22137960252854,-4.20411443273086,True,8,low_deprivation,16.6,95.3,
Ysgol Gymuned Llanfechell,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,81.0,LL68 0SA,53.3904147253115,-4.459317068764798,True,6,medium_deprivation,22.7,93.9,
Ysgol Y Graig,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,367.0,LL77 7LP,53.26080104845266,-4.297094089150464,False,2,high_deprivation,35.8,90.2,
YSGOL GYNRADD LLANGOED,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,85.0,LL58 8LU,53.291815227567895,-4.090467220292215,True,6,medium_deprivation,23.7,93.3,
Ysgol Henblas,Infants & Juniors,Isle of Anglesey,Primary,90.0,LL62 5DR,53.23584406554945,-4.354113499253534,True,5,medium_deprivation,27.7,91.7,
Ysgol Gymuned Llannerch-y-medd,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,123.0,LL71 8DP,53.33137489763596,-4.375744021152566,True,9,low_deprivation,14.1,96.2,
Ysgol Pencarnisiog,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,64.0,LL63 5RY,53.23490720277186,-4.469660883441454,True,7,medium_deprivation,18.4,94.5,
Ysgol Gymuned Pentraeth,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,77.0,LL75 8UP,53.28139477135768,-4.218848735074131,True,9,low_deprivation,7.9,95.9,
Ysgol Penysarn,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,64.0,LL69 9AZ,53.39044412488108,-4.314213683547529,True,2,high_deprivation,34.4,89.9,
Ysgol Santes Gwenfaen,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,106.0,LL65 2DX,53.26634683435473,-4.598128413213581,True,7,medium_deprivation,20.6,91.1,
Ysgol Gynradd Rhosneigr,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,75.0,LL64 5XA,53.23131594443653,-4.517090079023803,True,5,medium_deprivation,19.7,94.0,
Ysgol Gynradd Rhosybol,Infants & Juniors,Isle of Anglesey,Primary,75.0,LL68 9PP,53.37353373294612,-4.364845818324719,True,9,low_deprivation,10.1,94.6,
Ysgol Gymuned y Fali,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,118.0,LL65 3EU,53.28119687874881,-4.5686143413093045,True,10,low_deprivation,3.4,94.8,
Ysgol Llanfawr,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,256.0,LL65 2DS,53.30774143505739,-4.623830281709193,True,7,medium_deprivation,15.9,94.8,
Ysgol Goronwy Owen,Infants & Juniors,Isle of Anglesey,Primary,138.0,LL74 8SG,53.32175742340089,-4.228446074609745,True,6,medium_deprivation,24.5,92.7,
