FID,uprn,school_code,school_name,la_code,local_authority,sector,governance,wm_code,welsh_medium,school_type,religious_character,address_1,address_2,address_3,address_4,postcode,phone_number,pupils,rhif_yr_ysgol,enwr_ysgol,cod_all,awdurdod_lleol,llywodraethu,cod_cc,math_o_gyfrwng_cymraeg,math_o_ysgol,cymeriad_crefyddol,cyfeiriad_1,cyfeiriad_2,cyfeiriad_3,cyfeiriad_4,cod_post,rhif_ffon,disgyblion,id,geom
maintained_schools_wg.1,100100936625,6662156,YSGOL GOLWG PEN Y FAN,666,Powys,Primary,Community,EM,English medium school / provision,Infants & Juniors,Not available,Ysgol Golwg Pen y Fan,,,Brecon,LD3 7LU,01874622262,300,6662156,Ysgol Golwg Pen y Fan,666,Powys,Ddim yn gymwys,EM,Cyfrwng Saesneg,Iau a babanod,Ddim ar gael,Ysgol Golwg Pen y Fan,,,Brecon,LD3 7LU,,300,1,POINT (-3.3900193005579826 51.94967941892604)
maintained_schools_wg.2,49062016,6672374,YSGOL DYFFRYN AERON,667,Ceredigion,Primary,Community,WM,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",Not available,Ysgol Dyffryn Aeron,A482 Felinfach,Felinfach,Ceredigion,SA48 8AE,01545908908,180,6672374,Ysgol Dyffryn Aeron,667,Ceredigion,Cymuned,WM,Cyfrwng Cymraeg,"Iau, babanod a meithrin",Ddim ar gael,Ysgol Dyffryn Aeron,A482 Felinfach,Felinfach,Ceredigion,SA48 8AE,,180,2,POINT (-4.1505815959846855 52.17942776042268)
maintained_schools_wg.3,10096056843,6682398,Ysgol Bro Penfro,668,Pembrokeshire,Primary,Community,0 ,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",Not available,Old Bush Farm,Bush Hill,Pembroke,Pembrokeshire,SA71 4RJ,01646233150,149,6682398,Ysgol Bro Penfro,668,Sir Benfro,Ddim yn gymwys,0 ,Dim ar gael,Cynradd,Ddim ar gael,Old Bush Farm,Bush Hill,Pembroke,Pembrokeshire,SA71 4RJ,,149,3,POINT (-4.926974126027117 51.682969840138064)
maintained_schools_wg.4,10094265618,6712242,YGG Tregeles,671,Neath Port Talbot,Primary,Community,WM,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",Not available,St John’s Terrace,Neath Abbey,Neath Port Talbot,,SA10 7ND,01792966655,43,6712242,YGG Tregeles,671,Castell-nedd Port Talbot,Cymuned,WM,Cyfrwng Cymraeg,"Iau, babanod a meithrin",Ddim ar gael,St John’s Terrace,Neath Abbey,Neath Port Talbot,,SA10 7ND,01792966655,43,4,POINT (-3.8343244798607596 51.66150729369913)
maintained_schools_wg.5,200001851135,6735501,COWBRIDGE SCHOOL,673,The Vale of Glamorgan,Middle,Community,EM,English medium school / provision,Middle (ages 3-19),Not available,Cowbridge Comprehensive School,,Cowbridge Comprehensive School,Cowbridge,CF71 7EN,01446772311,1559,6735501,COWBRIDGE SCHOOL,673,Bro Morgannwg,Cymuned,EM,Cyfrwng Saesneg,Canol (ystod oedran 3-19),Ddim ar gael,Cowbridge Comprehensive School,,Cowbridge Comprehensive School,Cowbridge,CF71 7EN,01446772311,1559,5,POINT (-3.437574982124888 51.463357654385334)
maintained_schools_wg.6,200002935843,6742388,Ysgol Gynradd Gymraeg Awel Taf,674,Rhondda Cynon Taf,Primary,Community,WM,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",Not available,Ysgol Gynradd Gymraeg Awel Taf,Holly Street,Rhydyfelin Pontypridd,Rhondda Cynon Taf,CF37 5DB,01443490750,346,6742388,Ysgol Gynradd Gymraeg Awel Taf,674,Rhondda Cynon Taf,Ddim yn gymwys,WM,Cyfrwng Cymraeg,"Iau, babanod a meithrin",Ddim ar gael,Ysgol Gynradd Gymraeg Awel Taf,Holly Street,Rhydyfelin Pontypridd,Rhondda Cynon Taf,CF37 5DB,,346,6,POINT (-3.310188411054282 51.586420812409884)
maintained_schools_wg.7,200001850995,6745505,Ysgol Afon Wen,674,Rhondda Cynon Taf,Middle,Community,WM,English medium school / provision,Middle (ages 3-16),Not available,Ysgol Afonwen,School Lane,RHYDYFELIN PONTYPRIDD,RHONDDA CYNON TAF,CF37 5AL,01443841228,1165,6745505,Ysgol Afonwen,674,Rhondda Cynon Taf,Ddim yn gymwys,WM,Cyfrwng Cymraeg,Canol (ystod oedran 3-16),Ddim ar gael,Ysgol Afonwen,School Lane,RHYDYFELIN PONTYPRIDD,RHONDDA CYNON TAF,CF37 5AL,,1165,7,POINT (-3.306651976063282 51.578305701517706)
maintained_schools_wg.8,100101050180,6745506,Ysgol Bro Taf,674,Rhondda Cynon Taf,Middle,Community,0 ,English medium school / provision,Middle (ages 3-16),Not available,Albion Site,Cilfynydd,Pontypridd,Rhondda Cynon Taf,CF37 4SF,01443486133,902,6745506,Ysgol Bro Taf,674,Rhondda Cynon Taf,Ddim yn gymwys,0 ,Dim ar gael,Canol (ystod oedran 3-16),Ddim ar gael,Albion Site,Cilfynydd,Pontypridd,Rhondda Cynon Taf,CF37 4SF,,902,8,POINT (-3.3219639834433443 51.62453213894413)
maintained_schools_wg.9,100101032966,6792325,Ysgol Gymraeg Trefynwy,679,Monmouthshire,Primary,Community,0 ,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",Not available,Rockfield Road,,,Monmouth,NP25 5BA,01600738103,21,6792325,Ysgol Gymraeg Trefynwy,679,Sir Fynwy,Ddim yn gymwys,0 ,Dim ar gael,"Iau, babanod a meithrin",Ddim ar gael,Rockfield Road,,,Monmouth,NP25 5BA,,21,9,POINT (-2.726796931616041 51.81033429535239)
maintained_schools_wg.11,10095991599,6812333,Ysgol Gynradd Groes Wen,681,Cardiff,Primary,Community,DS,Dual language school / provision (Welsh and English) (including transitional),"Nursery, Infants & Juniors",Not available,Rhodfa Plasdwr,St Fagans,Cardiff,,CF5 2FG,02920598950,124,6812333,Ysgol Gynradd Groes Wen,681,Caerdydd,Cymuned,DS,Ddwy ffrwd,"Iau, babanod a meithrin",Ddim ar gael,Rhodfa Plasdwr,St Fagans,Cardiff,,CF5 2FG,02920598950,124,11,POINT (-3.2536034518063452 51.50362823824956)
